timestamp,open,high,low,close,volume
2025-03-25 18:20:00,224.0,224.0,223.9,224.0,58.0
2025-03-25 18:21:00,224.0,224.04,224.0,224.04,47.0
2025-03-25 18:22:00,224.0,224.1,223.9,223.9,11.0
2025-03-25 18:23:00,224.03,224.07,224.0,224.07,2836.0
2025-03-25 18:24:00,224.0889,224.1037,224.06,224.1,6529.0
2025-03-25 18:25:00,224.0,224.09,223.9,224.01,89.0
2025-03-25 18:26:00,224.11,224.11,223.9001,223.9087,61.0
2025-03-25 18:27:00,224.09,224.195,223.9,223.9,944.0
2025-03-25 18:28:00,224.11,224.11,223.89,224.0,448.0
2025-03-25 18:29:00,223.8952,224.1,223.8952,224.0,121.0
2025-03-25 18:30:00,224.0025,224.0975,224.0,224.0,285.0
2025-03-25 18:31:00,224.0836,224.0836,223.8917,223.91,1240.0
2025-03-25 18:32:00,223.91,223.96,223.9,223.96,537.0
2025-03-25 18:33:00,223.96,223.96,223.75,223.91,572.0
2025-03-25 18:34:00,223.75,223.96,223.75,223.96,56.0
2025-03-25 18:35:00,223.95,223.95,223.95,223.95,10.0
2025-03-25 18:36:00,223.9,223.95,223.9,223.95,140.0
2025-03-25 18:37:00,223.95,224.11,223.9,223.97,1171.0
2025-03-25 18:38:00,224.12,224.25,223.98,224.25,2302.0
2025-03-25 18:39:00,224.24,224.24,224.05,224.05,157.0
2025-03-25 18:40:00,224.13,224.2,224.06,224.2,1128.0
2025-03-25 18:41:00,224.17,224.17,224.06,224.12,375.0
2025-03-25 18:42:00,224.1,224.15,224.05,224.05,138.0
2025-03-25 18:43:00,224.12,224.12,224.03,224.03,61.0
2025-03-25 18:44:00,224.07,224.14,224.07,224.07,61.0
2025-03-25 18:45:00,224.1,224.14,224.08,224.14,5.0
2025-03-25 18:46:00,224.14,224.15,224.14,224.14,112.0
2025-03-25 18:47:00,224.1365,224.14,224.1,224.1,152.0
2025-03-25 18:48:00,224.1,224.1462,224.1,224.1462,55.0
2025-03-25 18:49:00,224.148,224.148,224.1,224.1,86.0
2025-03-25 18:50:00,224.1,224.15,224.1,224.11,44.0
2025-03-25 18:51:00,224.11,224.11,224.1,224.1,38.0
2025-03-25 18:52:00,224.11,224.15,224.1,224.1,795.0
2025-03-25 18:53:00,224.0988,224.15,224.07,224.08,309.0
2025-03-25 18:54:00,224.07,224.15,224.05,224.07,91.0
2025-03-25 18:55:00,224.07,224.07,224.0,224.06,25.0
2025-03-25 18:56:00,224.07,224.1,224.0116,224.07,221.0
2025-03-25 18:57:00,224.0113,224.0113,224.0113,224.0113,1.0
2025-03-25 18:58:00,224.07,224.1465,224.06,224.07,26.0
2025-03-25 18:59:00,224.07,224.1,224.01,224.01,114.0
2025-03-25 19:00:00,224.0001,224.0899,224.0,224.01,164.0
2025-03-25 19:01:00,224.0,224.0788,224.0,224.02,162.0
2025-03-25 19:02:00,224.08,224.08,224.08,224.08,1.0
2025-03-25 19:03:00,224.07,224.08,224.02,224.02,20.0
2025-03-25 19:04:00,224.02,224.08,224.01,224.02,422.0
2025-03-25 19:05:00,224.01,224.02,224.0,224.0,211.0
2025-03-25 19:06:00,224.06,224.07,224.06,224.0699,65.0
2025-03-25 19:07:00,224.06,224.07,224.01,224.01,48.0
2025-03-25 19:08:00,224.05,224.08,224.05,224.07,397.0
2025-03-25 19:09:00,224.05,224.07,224.05,224.07,27.0
2025-03-25 19:10:00,224.08,224.08,224.0507,224.06,90.0
2025-03-25 19:11:00,224.0507,224.07,224.0507,224.07,92.0
2025-03-25 19:12:00,224.06,224.07,224.05,224.07,305.0
2025-03-25 19:13:00,224.07,224.08,224.04,224.08,18.0
